recv_time,scenario,notes,topic,payload_time,battery_voltage,battery_soc,battery_capacity_ah,solar_voltage,solar_current,solar_power,solar_energy_wh,estimator_available_current
2026-07-12T07:59:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T07:59:00Z,4.120,90.000,100.0,24.00,0.000,0.000,0.000,0.000
2026-07-12T07:59:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T07:59:00Z,4.120,90.000,100.0,24.00,0.000,0.000,0.000,0.000
2026-07-12T08:00:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:00:00Z,4.119,89.925,100.0,24.00,0.000,0.004,0.000,0.000
2026-07-12T08:00:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:00:00Z,4.120,89.983,100.0,24.00,0.000,0.004,0.000,0.000
2026-07-12T08:01:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:01:00Z,4.119,89.850,100.0,24.00,0.000,0.007,0.000,0.000
2026-07-12T08:01:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:01:00Z,4.120,89.967,100.0,24.00,0.000,0.007,0.000,0.000
2026-07-12T08:02:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:02:00Z,4.118,89.775,100.0,24.00,0.000,0.011,0.000,0.000
2026-07-12T08:02:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:02:00Z,4.120,89.950,100.0,24.00,0.000,0.011,0.000,0.000
2026-07-12T08:03:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:03:00Z,4.118,89.700,100.0,24.00,0.001,0.014,0.001,0.000
2026-07-12T08:03:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:03:00Z,4.119,89.933,100.0,24.00,0.001,0.014,0.001,0.000
2026-07-12T08:04:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:04:00Z,4.117,89.625,100.0,24.00,0.001,0.018,0.001,0.000
2026-07-12T08:04:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:04:00Z,4.119,89.917,100.0,24.00,0.001,0.018,0.001,0.000
2026-07-12T08:05:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:05:00Z,4.116,89.550,100.0,24.00,0.001,0.021,0.001,0.000
2026-07-12T08:05:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:05:00Z,4.119,89.900,100.0,24.00,0.001,0.021,0.001,0.000
2026-07-12T08:06:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:06:00Z,4.116,89.475,100.0,24.00,0.001,0.025,0.002,0.000
2026-07-12T08:06:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:06:00Z,4.119,89.883,100.0,24.00,0.001,0.025,0.002,0.000
2026-07-12T08:07:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:07:00Z,4.115,89.400,100.0,24.00,0.001,0.029,0.002,0.000
2026-07-12T08:07:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:07:00Z,4.119,89.867,100.0,24.00,0.001,0.029,0.002,0.000
2026-07-12T08:08:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:08:00Z,4.115,89.325,100.0,24.00,0.001,0.032,0.003,0.000
2026-07-12T08:08:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:08:00Z,4.119,89.850,100.0,24.00,0.001,0.032,0.003,0.000
2026-07-12T08:09:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:09:00Z,4.114,89.250,100.0,24.00,0.001,0.036,0.003,0.000
2026-07-12T08:09:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:09:00Z,4.119,89.834,100.0,24.00,0.001,0.036,0.003,0.000
2026-07-12T08:10:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:10:00Z,4.113,89.175,100.0,24.00,0.002,0.039,0.004,0.000
2026-07-12T08:10:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:10:00Z,4.119,89.817,100.0,24.00,0.002,0.039,0.004,0.000
2026-07-12T08:11:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:11:00Z,4.113,89.100,100.0,24.00,0.002,0.043,0.005,0.000
2026-07-12T08:11:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:11:00Z,4.118,89.800,100.0,24.00,0.002,0.043,0.005,0.000
2026-07-12T08:12:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:12:00Z,4.112,89.025,100.0,24.00,0.002,0.046,0.005,0.000
2026-07-12T08:12:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:12:00Z,4.118,89.784,100.0,24.00,0.002,0.046,0.005,0.000
2026-07-12T08:13:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:13:00Z,4.112,88.950,100.0,24.00,0.002,0.050,0.006,0.000
2026-07-12T08:13:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:13:00Z,4.118,89.767,100.0,24.00,0.002,0.050,0.006,0.000
2026-07-12T08:14:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:14:00Z,4.111,88.876,100.0,24.00,0.002,0.054,0.007,0.000
2026-07-12T08:14:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:14:00Z,4.118,89.751,100.0,24.00,0.002,0.054,0.007,0.000
2026-07-12T08:15:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:15:00Z,4.110,88.801,100.0,24.00,0.002,0.057,0.008,0.000
2026-07-12T08:15:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:15:00Z,4.118,89.734,100.0,24.00,0.002,0.057,0.008,0.000
2026-07-12T08:16:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:16:00Z,4.110,88.726,100.0,24.00,0.003,0.061,0.009,0.000
2026-07-12T08:16:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:16:00Z,4.118,89.717,100.0,24.00,0.003,0.061,0.009,0.000
2026-07-12T08:17:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:17:00Z,4.109,88.651,100.0,24.00,0.003,0.064,0.010,0.000
2026-07-12T08:17:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:17:00Z,4.118,89.701,100.0,24.00,0.003,0.064,0.010,0.000
2026-07-12T08:18:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:18:00Z,4.109,88.576,100.0,24.00,0.003,0.068,0.011,0.000
2026-07-12T08:18:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:18:00Z,4.117,89.684,100.0,24.00,0.003,0.068,0.011,0.000
2026-07-12T08:19:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:19:00Z,4.108,88.501,100.0,24.00,0.003,0.071,0.012,0.000
2026-07-12T08:19:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:19:00Z,4.117,89.668,100.0,24.00,0.003,0.071,0.012,0.000
2026-07-12T08:20:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:20:00Z,4.107,88.426,100.0,24.00,0.003,0.075,0.014,0.000
2026-07-12T08:20:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:20:00Z,4.117,89.651,100.0,24.00,0.003,0.075,0.014,0.000
2026-07-12T08:21:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:21:00Z,4.107,88.351,100.0,24.00,0.003,0.079,0.015,0.000
2026-07-12T08:21:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:21:00Z,4.117,89.635,100.0,24.00,0.003,0.079,0.015,0.000
2026-07-12T08:22:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:22:00Z,4.106,88.276,100.0,24.00,0.003,0.082,0.016,0.000
2026-07-12T08:22:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:22:00Z,4.117,89.618,100.0,24.00,0.003,0.082,0.016,0.000
2026-07-12T08:23:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:23:00Z,4.106,88.201,100.0,24.00,0.004,0.086,0.018,0.000
2026-07-12T08:23:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:23:00Z,4.117,89.601,100.0,24.00,0.004,0.086,0.018,0.000
2026-07-12T08:24:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:24:00Z,4.105,88.127,100.0,24.00,0.004,0.089,0.019,0.000
2026-07-12T08:24:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:24:00Z,4.117,89.585,100.0,24.00,0.004,0.089,0.019,0.000
2026-07-12T08:25:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:25:00Z,4.104,88.052,100.0,24.00,0.004,0.093,0.021,0.000
2026-07-12T08:25:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:25:00Z,4.117,89.568,100.0,24.00,0.004,0.093,0.021,0.000
2026-07-12T08:26:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:26:00Z,4.104,87.977,100.0,24.00,0.004,0.096,0.022,0.000
2026-07-12T08:26:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:26:00Z,4.116,89.552,100.0,24.00,0.004,0.096,0.022,0.000
2026-07-12T08:27:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:27:00Z,4.103,87.902,100.0,24.00,0.004,0.100,0.024,0.000
2026-07-12T08:27:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T08:27:00Z,4.116,89.535,100.0,24.00,0.004,0.100,0.024,0.000
2026-07-12T08:28:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T08:28:00Z,4.103,87.827,100.0,24.00,0.004,0.104,0.026,0.000
